participantid_in_session,participantcode,participantlabel,participant_is_bot,participant_index_in_pages,participant_max_page_index,participant_current_app_name,participant_current_page_name,participanttime_started_utc,participantvisited,participantmturk_worker_id,participantmturk_assignment_id,participantpayoff,sessioncode,sessionlabel,sessionmturk_hitid,sessionmturk_hitgroupid,sessioncomment,sessionis_demo,sessionconfigreal_world_currency,sessionconfigparticipation_fee,sessionconfigname,pre1playerid_in_group,pre1playerrole,pre1playerpayoff,pre1playerconsent,pre1playerattention_check_num,pre1playerattention_check_num2,pre1playerattention_check_num3,pre1playerattention_check,pre1playerattention_check2,pre1playerattention_check3,pre1groupid_in_subsession,pre1subsessionround_number,main1playerid_in_group,main1playerrole,main1playerpayoff,main1playerstated_amount,main1playerthreshold_integer,main1playerbriefing_correct_amou,main1playerbriefing_1,main1playerbriefing_2,main1playerbriefing_3,main1playerbriefing_4,main1playerbriefing_5,main1playerbriefing_6,main1playerbriefing_7,main1playerbriefing_8,main1playerbriefing_9,main1playerbriefing_10,main1playerbriefing_11,main1playerbriefing_12,main1playerbriefing_13,main1playerbriefing_14,main1playerbriefing_15,main1playermisreport_reason,main1playeraccept_next_experimen,main1playerprefer,main1playerpainter,main1playerq1,main1playerq2,main1playerq3,main1playerq4,main1playerq5,main1playerq6,main1playerq7,main1playerq8,main1playerq9,main1playerq10,main1playerq11,main1playerq12,main1playercomp1,main1playercomp2,main1playercomp3,main1playercomp4,main1playercomp5,main1playercomp6,main1playercomp7,main1playerdictator_keep,main1playerage,main1playergender,main1playereducation,main1playerincome,main1playeremployment,main1playeroccupation,main1groupid_in_subsession,main1subsessionround_number,end1playerid_in_group,end1playerrole,end1playerpayoff,end1groupid_in_subsession,end1subsessionround_number,end21playerid_in_group,end21playerrole,end21playerpayoff,end21groupid_in_subsession,end21subsessionround_number,treat8,treat10,treat12
130,m3li9qx0,,0,24,25,end,End,2025-04-11 12:50:24.333349,1,,,1.5,gixfpzmu,,,,,0,1,0,main,130,,0,1,30,28,27,30,,,1,1,130,,1.5,11,10,5,3,3,3,1,3,3,5,1,6,8,4,6,6,7,8,It felt like the right number to pick,,Left,,2,5,1,5,4,5,5,2,5,2,4,5,5,5,2,4,4,4,4,6.6999998,34,Female,College Graduate (4 years),"$50,000 - $74,999",Full-time employed,Finance/Banking,1,1,130,,0,1,1,130,,0,1,1,0,1,0
159,gobr4ned,,0,24,25,end,End,2025-04-11 12:55:20.883704,1,,,2.5,gixfpzmu,,,,,0,1,0,main,159,,0,1,12,21,53,12,,,1,1,159,,2.5,15,12,1,2,4,4,4,4,8,8,8,8,8,8,8,8,8,8,It is the maximum available to report as I don't have to report my actual score.,,Right,,5,4,1,5,5,5,5,1,5,1,5,5,5,5,2,5,5,5,5,6.8000002,48,Male,Master's Degree (MA),"$50,000 - $74,999",Other,Technology/IT,1,1,159,,0,1,1,159,,0,1,1,0,0,1
162,daf48qq8,,0,24,25,end,End,2025-04-11 12:55:33.400227,1,,,3,gixfpzmu,,,,,0,1,0,main,162,,0,1,87,86,69,87,,,1,1,162,,3,14,10,4,2,3,4,1,2,3,3,4,8,3,6,7,2,4,5,Greed,,Right,,3,4,3,4,5,5,2,4,4,3,4,3,1,2,1,2,4,3,1,5,31,Male,College Graduate (4 years),"$100,000 - $149,999",Full-time employed,Technology/IT,1,1,162,,0,1,1,162,,0,1,1,0,1,0
175,0r0pnix6,,0,24,25,end,End,2025-04-11 12:58:33.321924,1,,,2.5,gixfpzmu,,,,,0,1,0,main,175,,0,1,59,61,5,59,,,1,1,175,,2.5,15,12,4,2,3,3,1,3,5,7,8,8,8,8,8,8,8,8,"increased the test score because higher scores directly translated into a higher reward. The benefits in this case outweighed the risks. The system was set up to reward performance with money, and I saw an opportunity to secure more resources.",,Right,,1,1,1,4,5,4,5,2,4,2,4,5,4,2,4,5,5,5,5,8,37,Male,Master's Degree (MA),"$50,000 - $74,999",Full-time employed,Technology/IT,1,1,175,,0,1,1,175,,0,1,1,0,0,1
186,90r6jdzy,,0,24,25,end,End,2025-04-11 13:01:13.211108,1,,,1.5,gixfpzmu,,,,,0,1,0,main,186,,0,1,44,2,78,44,,,1,1,186,,1.5,11,10,8,2,1,3,1,3,1,3,4,6,3,7,4,3,2,8,I reported my score as 11 because that was the score that I received.,,Right,,4,4,3,3,2,5,2,5,5,5,3,4,4,2,4,3,2,2,3,8,32,Prefer not to say,College Graduate (4 years),Prefer not to say,Full-time employed,Healthcare,1,1,186,,0,1,1,186,,0,1,1,0,1,0
211,4078in0c,,0,24,25,end,End,2025-04-11 13:08:29.705805,1,,,2,gixfpzmu,,,,,0,1,0,main,211,,0,1,24,42,93,24,,,1,1,211,,2,14,12,6,2,1,3,1,3,3,5,4,2,8,8,8,8,8,8,I want to try to earn some bonus money. I also don't want people knowing how bad I do at these kinds of questions.,,Right,,4,4,5,1,5,2,2,3,3,1,1,4,4,1,4,5,1,4,3,5,56,Female,Some College,"$25,000 - $49,999",Part-time employed,Finance/Banking,1,1,211,,0,1,1,211,,0,1,1,0,0,1
213,m2w1kalh,,0,24,25,end,End,2025-04-11 13:09:00.662772,1,,,1.5,gixfpzmu,,,,,0,1,0,main,213,,0,1,57,43,12,57,,,1,1,213,,1.5,9,8,7,2,3,3,1,3,1,3,4,4,1,5,8,8,8,8,It seems like a reasonable bump from my real score of 7. I do not think it is a high enough number to be flagged. I did not want to make it obvious but I do want some bonus.,,Right,,4,4,2,3,2,4,2,2,4,4,5,4,4,2,4,2,3,2,3,5,38,Female,Some College,"$100,000 - $149,999",Unemployed,Retail/Sales,1,1,213,,0,1,1,213,,0,1,1,1,0,0
221,fho3l8i5,,0,24,25,end,End,2025-04-11 13:11:02.039354,1,,,2,gixfpzmu,,,,,0,1,0,main,221,,0,1,58,62,10,58,,,1,1,221,,2,10,8,5,2,1,3,1,3,6,8,8,8,8,8,8,8,8,8,It's the score I believe would be the most fair and correct.,,Right,,1,5,4,5,1,4,5,2,4,2,5,4,4,2,4,4,4,4,3,7,50,Male,College Graduate (4 years),"$75,000 - $99,999",Full-time employed,Transportation/Logistics,1,1,221,,0,1,1,221,,0,1,1,1,0,0
225,s4x7rdnv,,0,24,25,end,End,2025-04-11 13:12:11.684046,1,,,1.5,gixfpzmu,,,,,0,1,0,main,225,,0,1,68,30,46,68,,,1,1,225,,1.5,9,8,6,2,3,3,1,3,3,3,2,6,4,8,8,8,8,8,I wanted to get a bonus,,Right,,4,5,2,4,2,5,2,4,5,4,4,4,5,2,4,2,4,2,4,10,38,Female,Some College,"$25,000 - $49,999",Unemployed,Retail/Sales,1,1,225,,0,1,1,225,,0,1,1,1,0,0
229,rexd0ggs,,0,24,25,end,End,2025-04-11 13:13:29.085527,1,,,2,gixfpzmu,,,,,0,1,0,main,229,,0,1,73,10,71,73,,,1,1,229,,2,10,8,5,2,1,3,1,3,1,5,2,5,4,8,8,8,8,8,because i need a higher bonus ,,Left,,5,4,2,5,5,5,4,2,4,1,4,4,5,4,2,3,4,5,4,2,41,Female,Master's Degree (MA),"$150,000 or more",Part-time employed,Other,1,1,229,,0,1,1,229,,0,1,1,1,0,0
237,6my1tpnl,,0,24,25,end,End,2025-04-11 13:16:46.895758,1,,,1.5,gixfpzmu,,,,,0,1,0,main,237,,0,1,56,84,23,56,,,1,1,237,,1.5,9,8,3,2,1,3,4,4,8,8,8,8,8,8,8,8,8,8,I answered 3 questions correctly giving them 3 points each,,Right,,3,4,1,4,2,4,4,1,4,2,4,5,5,1,5,5,5,5,5,5,24,Male,College Graduate (4 years),"$50,000 - $74,999",Self-employed,Government/Public Service,1,1,237,,0,1,1,237,,0,1,1,1,0,0
241,dbmyt8hd,,0,24,25,end,End,2025-04-11 13:17:44.734875,1,,,2.5,gixfpzmu,,,,,0,1,0,main,241,,0,1,50,55,9,50,,,1,1,241,,2.5,11,8,5,2,2,3,1,3,1,3,2,7,2,8,8,8,8,8,The results page said I got 11 right.,,Right,,5,4,4,4,2,3,2,3,3,2,4,3,3,4,1,2,4,4,4,9.8999996,36,Male,Some College,"$25,000 - $49,999",Part-time employed,Construction/Trades,1,1,241,,0,1,1,241,,0,1,1,1,0,0
242,q1orm5ar,,0,24,25,end,End,2025-04-11 13:18:18.896220,1,,,3,gixfpzmu,,,,,0,1,0,main,242,,0,1,32,32,89,32,,,1,1,242,,3,14,10,3,2,4,1,1,3,8,5,8,8,8,8,8,8,8,8,To get the two dollars !,,Right,,1,5,1,5,1,4,5,1,5,1,2,5,4,1,1,4,4,4,4,8.8999996,78,Female,College Graduate (4 years),"$75,000 - $99,999",Retired,Education,1,1,242,,0,1,1,242,,0,1,1,0,1,0
